,km,km/s,km,km,km/s
name,R_dist,Vobs,perihelion,aphelion,errV
Mercury,57900000.0,47.9,46000000.0,69800000.0,3.3514721485595835
Venus,108200000.0,35.0,107500000.0,108900000.0,0.0755267505199566
Earth,149600000.0,29.8,147100000.0,152100000.0,0.16593493548126267
Mars,228000000.0,24.1,206700000.0,249300000.0,0.7545975045582739
Jupiter,778500000.0,13.1,740600000.0,816400000.0,0.21212952130412727
Saturn,1432000000.0,9.7,1357600000.0,1506500000.0,0.16705415155401898
Uranus,2867000000.0,6.8,2732700000.0,3001400000.0,0.10638991677389124
Neptune,4515000000.0,5.4,4471100000.0,4558900000.0,0.01757247687756656
Pluto,5906400000.0,4.7,4436800000.0,7375900000.0,0.4058962748458171
